,0,1,2,3,4
0,0.30575275,0.06823531,0.24944508,0.37191182,0.23776847
1,0.0500147,0.051858075,0.2274059,0.03884559,0.106570646
2,0.057529766,0.0012680739,0.35051587,0.0,0.16971192
3,0.09428023,0.07285688,0.2543947,0.028061904,0.1440036
4,0.068106286,0.12525946,0.15683101,0.198903,0.18709934
5,0.24720943,0.078796275,0.2652308,0.25193864,0.21880592
6,0.16119643,0.22168435,0.14815693,0.24853718,0.25824437
7,0.003944475,0.13100258,0.09374128,0.066046245,0.0
8,0.16707373,0.02900176,1.0860214,0.10760329,1.1098622
9,0.18790905,0.070197776,0.21175405,0.31629312,0.1953964
10,0.0,0.056189258,0.21729606,0.0,0.06433365
11,0.18789288,0.11225634,0.55790186,0.16453354,0.60476613
12,0.009008825,0.37527815,0.23430109,0.047963023,0.3216487
13,0.2839498,0.12329613,0.14317828,0.17192078,0.19073293
14,0.1402821,0.1105953,0.56177425,0.062323682,0.6218877
15,0.0,0.084361196,0.25609064,0.0,0.10116173
16,0.1000189,0.0,0.7966043,0.10723305,0.42847162
17,0.027806276,0.020720804,0.34847593,0.028390735,0.1492523
18,0.1514817,0.03775222,0.99558794,0.351277,0.9301026
19,0.041087892,0.041695073,0.48455608,0.056147132,0.25588864
20,0.09946458,0.14548707,0.49495238,0.10073317,0.5063807
21,0.1491647,0.007171087,0.3085724,0.07675087,0.09107478
22,0.092495635,0.05128137,0.3177008,0.20421264,0.13361311
23,0.016761515,0.07540698,0.28075138,0.07885677,0.096693605
24,0.0051430278,0.106781244,0.56489456,0.02185402,0.58853483
25,0.055466097,0.025919242,0.37204075,0.1437552,0.21367438
26,0.119995646,0.14677823,0.07300314,0.10723747,0.0
27,0.004809644,0.07193637,0.8974627,0.107713535,0.96272016
28,0.17933206,0.20426649,0.23512997,0.23374759,0.29676008
29,0.18466577,0.12926692,0.22526908,0.1891017,0.2303668
30,0.055894215,0.061751068,0.3050632,0.062303495,0.28123778
31,0.05495589,0.13504149,0.2212421,0.10954223,0.1979485
32,0.04619888,0.019182522,1.0310633,0.0,1.0115356
33,0.0,0.2473231,0.22339088,0.06387326,0.32007775
34,0.051577415,0.1726384,0.19376135,0.13676348,0.24758631
35,0.036412083,0.01776991,0.59767354,0.058124777,0.361159
36,0.36921507,0.0,0.755493,0.3439175,0.40417677
37,0.074865684,0.030471355,0.60037994,0.13894589,0.44365928
38,0.04001368,0.13489711,0.0545173,0.051472582,0.0
39,0.14675981,0.0053673126,1.0488867,0.12442253,0.99550325
40,0.08928177,0.1827063,0.14940389,0.108994804,0.2541961
41,0.10331545,0.11835039,0.18963426,0.20968431,0.22001061
42,0.0023263842,0.07128671,0.4075486,0.054013945,0.20800039
43,0.08035125,0.19611454,0.0,0.15898915,0.0
44,0.080063224,0.0,0.30608335,0.0656109,0.12025097
45,0.0,0.0,0.47902504,0.018316455,0.17522532
46,0.17034566,0.0879194,0.118782565,0.18505892,0.12900025
47,0.15239494,0.040773757,1.2097036,0.13462329,1.156332
48,0.12750436,0.12305874,0.10188566,0.16186514,0.1718534
49,0.040849596,0.16179384,0.24804403,0.1089848,0.2767987
50,0.092760585,0.13662343,0.0025530457,0.19721866,0.0
51,0.25627282,0.0,1.1076249,0.40412724,0.98234355
52,0.19397587,0.0024938025,1.1882164,0.12650585,1.1520665
53,0.0,0.071485735,0.85867536,0.0,0.8299236
54,0.0,0.057190217,0.23598981,0.0,0.07851431
55,0.25095078,0.04914122,0.6409329,0.33819994,0.6518082
56,0.16762021,0.0,0.68527436,0.08591941,0.48857033
57,0.04070774,0.01765583,0.30758962,0.038376603,0.15647566
58,0.08197631,0.13564181,0.37472552,0.078196056,0.3124921
59,0.031191517,0.08444321,0.064802274,0.13567387,0.0209907
60,0.089289464,0.18849063,0.28740537,0.109396614,0.36254352
61,0.14888844,0.03679654,0.6998302,0.2443528,0.6406193
62,0.0,0.32090676,0.19132964,0.031092327,0.2188632
63,0.052683145,0.056355383,0.19662356,0.0,0.03342335
64,0.20503347,0.14888625,0.08706516,0.17714438,0.19535224
65,0.115779966,0.0467283,1.0475723,0.10846867,1.1605153
66,0.05599459,0.12330042,0.23468673,0.04007044,0.26270524
67,0.10245325,0.1536667,0.5285993,0.24990873,0.6143965
68,0.14573185,0.17674647,0.25029567,0.19514185,0.3635524
69,0.086230464,0.12037477,0.4163161,0.15444782,0.1438125
70,0.026142472,0.0,0.29331347,0.0029559508,0.1103223
71,0.09086725,0.06801352,0.29856354,0.198513,0.17970182
72,0.19277433,0.12064578,0.6232803,0.42433268,0.6595897
73,0.14218405,0.113251485,0.57836556,0.010165349,0.578328
74,0.018336114,0.10755426,0.864184,0.0,0.82157564
75,0.047044132,0.1489309,0.5897974,0.06498891,0.56505185
76,0.16194285,0.044004757,1.0984579,0.25796145,1.0579314
77,0.16345337,0.14226863,0.03410384,0.1809876,0.0
78,0.18836407,0.0,1.309223,0.3913728,1.2521677
79,0.06413024,0.011854865,0.3056379,0.10260148,0.19180074
80,0.06227685,0.10303602,0.9368707,0.021461643,0.9682013
81,0.2794652,0.0,0.22687602,0.14586844,0.0881585
82,0.016103607,0.06284044,0.31929094,0.037739415,0.12559056
83,0.13166156,0.15229893,0.7191927,0.20811763,0.9223206
84,0.037901264,0.19639924,0.0,0.1777949,0.0
85,0.3260196,0.18123034,0.0,0.3718052,0.0
86,0.11197252,0.012926344,0.6608099,0.10642776,0.58003044
87,0.12430044,0.10775236,0.53436637,0.12825763,0.48379612
88,0.073492,0.23848505,0.20472915,0.15183902,0.29505852
89,0.076101094,0.06873766,0.6192598,0.030188963,0.60648835
90,0.014906906,0.19140089,0.24714826,0.0,0.2737985
91,0.2997326,0.081982516,0.34253815,0.27681,0.29640898
92,0.08968924,0.10706243,0.056683972,0.13855809,0.0
93,0.045610495,0.06736199,0.4164389,0.1264336,0.28878242
94,0.15230745,0.13763697,0.0755029,0.2637726,0.12023394
95,0.1721921,0.089573935,0.15297754,0.18370934,0.1951753
96,0.035921983,0.017087668,0.33562747,0.0950275,0.14661746
97,0.10500172,0.27548885,0.24854857,0.051023673,0.29778937
98,0.12846076,0.27224284,0.2341365,0.14235826,0.27793008
99,0.0717216,0.20585483,0.124451905,0.11454964,0.30660975
