,0,1,2
226,41.625,39.375,58.0
227,28.125,17.25,28.0
228,10.5,10.875,16.0
229,38.625,25.235999999999997,36.0
230,36.125,33.5,49.0
231,18.875,18.0,21.0
232,22.75,20.75,23.0
233,40.457,37.793000000000006,45.0
234,11.375,9.0,14.0
235,124.5,108.0,169.0
236,49.25,31.625,61.0
237,59.25,37.875,70.0
238,49.875,43.375,68.0
239,73.625,58.708,88.0
240,42.875,34.75,49.0
241,36.5,28.875,30.0
242,6.625,3.875,11.0
243,16.875,10.5,9.0
244,21.75,22.5,28.0
245,45.375,25.125,55.0
246,8.625,9.261,12.0
247,47.375,28.583,43.0
248,40.75,33.0,52.0
249,14.25,12.25,32.0
250,15.0,13.25,19.0
251,18.375,15.375,15.0
252,24.444000000000003,20.306,28.0
253,27.708,20.875,32.0
254,9.625,5.625,12.0
255,20.194000000000003,16.181,31.0
256,5.0,2.75,0.0
257,4.875,4.0,3.0
258,13.125,11.386,9.0
259,49.375,34.875,66.0
260,9.625,7.25,14.0
261,31.375,31.125,41.0
262,22.0,16.875,28.0
263,22.75,21.625,34.0
264,48.0,35.125,66.0
265,35.875,27.124,39.0
266,43.083,41.416,51.0
267,38.25,18.625,40.0
268,21.625,19.5,28.0
269,31.0,23.458,30.0
270,31.5,25.0,45.0
271,13.375,10.375,21.0
272,17.875,15.625,25.0
273,22.125,18.25,30.0
274,20.5,19.625,44.0
275,22.0,14.625,35.0
276,32.625,22.958,48.0
277,35.875,23.749,40.0
278,31.5,22.25,31.0
279,31.875,23.25,28.0
280,47.0,30.583,55.0
281,33.875,31.125,40.0
282,31.5,16.625,28.0
283,6.5,5.375,6.0
284,7.5,4.0,8.0
285,10.0,8.333,17.0
286,60.5,59.875,86.0
287,37.25,41.0,57.0
288,31.0,26.25,39.0
289,11.375,6.666,9.0
290,23.25,13.975,32.0
291,36.375,24.875,38.0
292,31.375,24.25,43.0
293,19.25,15.75,31.0
294,15.347,16.278,25.0
295,16.75,7.25,16.0
296,41.5,31.583,60.0
297,22.25,19.75,35.0
298,15.375,14.375,27.0
299,16.375,13.0,26.0
300,78.875,59.375,99.0
301,31.125,25.0,55.0
302,21.25,18.5,20.0
303,23.5,16.625,31.0
304,19.375,10.5,21.0
305,9.0,6.875,4.0
306,7.125,9.5,9.0
307,40.625,34.0,57.0
308,27.125,28.75,33.0
309,36.5,30.708,44.0
310,15.75,12.5,18.0
311,22.75,17.875,28.0
312,5.125,7.875,6.0
313,10.875,10.125,18.0
314,2.875,3.5,5.0
315,1.875,1.125,2.0
316,6.0,6.5,7.0
317,18.625,17.431,33.0
318,28.875,26.375,52.0
319,5.625,4.125,5.0
320,1.5,1.25,4.0
321,1.0,2.625,2.0
322,15.25,15.0,29.0
323,30.25,22.375,33.0
324,15.25,9.875,24.0
325,40.625,38.375,41.0
326,28.375,14.875,24.0
327,32.25,22.5,35.0
328,16.25,15.75,27.0
329,14.25,15.0,17.0
330,20.625,14.458,26.0
331,14.125,10.0,18.0
332,21.625,20.625,31.0
333,4.25,5.5,9.0
334,2.0,0.625,1.0
335,18.0,22.625,30.0
336,13.25,11.625,12.0
337,5.3469999999999995,6.4030000000000005,7.0
338,14.0,12.875,21.0
339,6.25,5.125,5.0
340,14.875,11.0,29.0
341,1.5,1.375,1.0
342,8.0,7.75,15.0
343,8.25,8.75,13.0
344,6.625,5.875,9.0
345,8.375,7.208,13.0
346,16.25,12.708,25.0
347,4.375,4.125,1.0
348,5.5,5.125,4.0
349,9.875,8.25,11.0
350,30.375,19.875,20.0
351,18.0,15.5,27.0
352,23.125,18.0,25.0
353,24.625,24.125,26.0
354,17.125,15.5,19.0
355,3.153,1.805,1.0
356,21.75,20.375,20.0
357,21.5,13.25,29.0
358,38.375,30.75,36.0
359,70.875,53.583,85.0
360,31.125,22.25,35.0
361,61.125,49.123999999999995,73.0
362,24.5,15.166,24.0
363,47.625,30.5,52.0
364,19.875,11.833,23.0
365,63.458,50.875,70.0
366,28.625,17.375,28.0
367,66.375,43.236000000000004,70.0
368,19.5,16.25,28.0
369,32.0,25.0,48.0
370,41.25,26.5,45.0
371,37.625,27.5,42.0
372,28.5,32.75,23.0
373,66.0,54.556,60.0
374,53.25,45.875,56.0
375,15.208,12.5,11.0
376,61.125,51.0,75.0
377,74.5,53.333,73.0
378,28.431,21.027,22.0
379,31.875,28.5,37.0
380,33.5,26.125,34.0
381,18.125,13.375,23.0
382,19.0,18.083,27.0
383,34.5,19.708,42.0
384,54.25,41.916,54.0
385,53.833,47.375,43.0
386,64.25,44.808,112.0
387,60.875,41.625,47.0
388,24.75,17.625,32.0
389,48.375,32.25,54.0
390,49.5,35.666,56.0
391,69.875,52.177,109.0
392,18.75,14.25,24.0
393,29.125,20.5,37.0
394,8.125,6.5,6.0
395,52.125,50.375,53.0
396,46.75,41.25,52.0
397,31.0,23.125,60.0
398,32.625,27.125,51.0
399,11.625,14.625,14.0
